date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-07-29,Blue Wave,284,284,0,13,348,0,1,0,1,10.013222131814484,1
2025-07-29,Claudia Bavel,285,285,0,111,355,0,1,0,1,10.010855847627905,4
2025-07-29,Rayveness,286,286,0,101,355,0,1,0,2,10.000684977001377,1
2025-07-29,Stella Bliss,287,287,0,67,354,0,1,0,1,9.98068127634641,1
2025-07-29,Christy Love,288,288,0,83,356,0,1,0,1,9.967800150398414,1
2025-07-29,RAVEN LANE,289,289,0,72,356,0,1,0,1,9.956612192709237,1
2025-07-29,Keira Love,290,290,0,153,110,0,0,1,1,9.625002075687883,1
2025-07-29,Mina Kali,291,291,0,117,389,0,1,0,2,9.521331547846383,1
2025-07-29,Serina Gomez,292,292,0,136,400,0,1,0,1,9.380306347809379,1
2025-07-29,Eliza Ibarra,293,293,0,78,400,0,1,0,1,9.32131529817553,1
2025-07-29,Aurelly Rebel,294,294,0,156,132,0,0,1,1,9.30735362842103,1
2025-07-29,Cherry X,295,295,0,5,402,0,1,0,1,9.217913423651456,1
2025-07-29,Elsa Violet,296,296,0,135,412,0,1,0,1,9.204362147044101,1
2025-07-29,KittyKristen,297,297,0,2,63,0,0,0,0,9.156553124562622,1
2025-07-29,PE,298,298,0,29,75,0,0,0,0,9.009087361551618,0
2025-07-29,Juju la bretonne,299,299,0,99,97,0,0,0,0,8.759583747482488,1
2025-07-29,Penny Flame,300,300,0,34,444,0,1,0,1,8.635164050509196,1
2025-07-29,Maddy Nelson,301,301,0,162,187,0,0,1,0,8.511706879659918,1
2025-07-29,HD,302,302,0,44,132,0,0,0,5,8.193439877403943,4
2025-07-29,PARADISEHILL.cc CHAT 18+,303,303,0,2,135,0,0,0,0,8.106990442346879,0
2025-07-29,Rebel Rhyder,304,304,0,108,218,0,0,1,1,8.004889134544902,1
2025-07-29,Stacy Bloom,305,305,0,81,229,0,0,1,1,7.817077929625879,4
2025-07-29,Sammyyy Stonerrr,306,306,0,105,239,0,0,1,1,7.695715424377354,1
2025-07-29,Ava Austen,307,307,0,8,168,0,0,0,0,7.632043402040579,1
2025-07-29,morgpie,308,308,0,23,194,0,0,0,0,7.2682909616246825,0
2025-07-29,Mira Wair,309,309,0,3,194,0,0,0,0,7.247949220371631,1
2025-07-29,Public,310,310,0,52,207,0,0,0,0,7.108282113263765,0
2025-07-29,TUSHY,311,311,0,12,207,0,0,0,0,7.0675986307576615,2
2025-07-29,Georgia Jones,312,312,0,142,294,0,0,1,1,6.9315983745584715,1
2025-07-29,Jillian Janson,313,313,0,114,298,0,0,1,1,6.844810898903325,1
2025-07-29,Lily Love,314,315,1,3,229,0,0,0,0,6.737745138738979,1
2025-07-29,Anna De Ville,315,314,-1,235,314,0,0,1,1,6.734642281880786,1
2025-07-29,Mya Lorenn,316,316,0,6,252,0,0,0,0,6.4055194319969075,1
2025-07-29,Merida Sat,317,317,0,138,340,0,0,1,1,6.256976090447802,1
2025-07-29,Chloe Temple,318,318,0,118,343,0,0,1,1,6.192902570769096,1
2025-07-29,Lindsay Lee,319,319,0,136,348,0,0,1,1,6.138323840520749,1
2025-07-29,Nika A,320,320,0,130,349,0,0,1,1,6.1176440586696135,1
2025-07-29,Catherine Knight,321,321,0,101,349,0,0,1,1,6.0881485338526895,1
2025-07-29,Valkiria Lapiedra,322,322,0,101,349,0,0,1,1,6.0881485338526895,1
2025-07-29,Juilie Robbie,323,323,0,101,349,0,0,1,1,6.0881485338526895,1
2025-07-29,Kallie Taylor,324,324,0,78,348,0,0,1,1,6.0793327908869,1
2025-07-29,Renata Foxx,325,325,0,33,349,0,0,1,1,6.018986613592316,1
2025-07-29,Madison Moores,326,326,0,4,279,0,0,0,0,6.0098992520406975,1
2025-07-29,Riley Jacobs,327,327,0,7,348,0,0,1,1,6.007119609438568,1
2025-07-29,cristina plaza aa,328,328,0,25,299,0,0,0,0,5.739712890852028,1
2025-07-29,Cindy Shine,329,329,0,37,389,0,0,1,1,5.439964582834179,1
2025-07-29,Eva Cela,330,330,0,9,339,0,0,0,0,5.140349118840841,1
2025-07-29,Alana Cruise,331,331,0,2,349,0,0,0,0,4.987456914650086,1
2025-07-29,Lauren Phillips,332,332,0,160,691,0,0,0,0,0.1627339300244101,1
